Model,Price,Age_08_04,Mfg_Month,Mfg_Year,KM,HP,Met_Color,Automatic,cc,Doors,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Color_Beige,Color_Black,Color_Blue,Color_Green,Color_Grey,Color_Red,Color_Silver,Color_Violet,Color_White,Color_Yellow
TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,0.325044405,0.278481013,0.818181818,0.666666667,0.193354705,0.170731707,1,0,0.047619048,0.333333333,0.666666667,0.723484848,0.268292683,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,0.3339254,0.278481013,0.818181818,0.666666667,0.300149383,0.170731707,1,0,0.047619048,0.333333333,0.666666667,0.723484848,0.268292683,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
 TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,0.341030195,0.291139241,0.727272727,0.666666667,0.171646797,0.170731707,1,0,0.047619048,0.333333333,0.666666667,0.723484848,0.268292683,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,0.376554174,0.316455696,0.545454545,0.666666667,0.197527562,0.170731707,0,0,0.047619048,0.333333333,0.666666667,0.723484848,0.268292683,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,0.3339254,0.367088608,0.181818182,0.666666667,0.158432751,0.170731707,0,0,0.047619048,0.333333333,0.666666667,0.723484848,0.276422764,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,0.305506217,0.392405063,0,0.666666667,0.251025724,0.170731707,0,0,0.047619048,0.333333333,0.666666667,0.723484848,0.276422764,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
 TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,0.445825933,0.329113924,0.454545455,0.666666667,0.389347281,0.170731707,1,0,0.047619048,0.333333333,0.666666667,0.723484848,0.398373984,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,0.506216696,0.367088608,0.181818182,0.666666667,0.312297581,0.170731707,1,0,0.047619048,0.333333333,0.666666667,0.723484848,0.398373984,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,0.609236234,0.329113924,0.454545455,0.666666667,0.081066177,1,0,0,0.034013605,0.333333333,0.666666667,0.306818182,0.300813008,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
 TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,0.305506217,0.278481013,0.818181818,0.666666667,0.292746061,0,0,0,0.040816327,0.333333333,0.666666667,0.628787879,0.170731707,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,0.589698046,0.303797468,0.636363636,0.666666667,0.129465553,1,0,0,0.034013605,0.333333333,1,0.306818182,0.300813008,1,1,0.272727273,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,0.554174067,0.265822785,0.909090909,0.666666667,0.179461644,1,0,0,0.034013605,0.333333333,1,0.306818182,0.300813008,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,0.541740675,0.303797468,0.636363636,0.666666667,0.13246145,1,0,0,0.034013605,0.333333333,1,0.306818182,0.300813008,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,0.609236234,0.379746835,0.090909091,0.666666667,0.09464648,1,1,0,0.034013605,0.333333333,1,0.306818182,0.300813008,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
